Key,English,Japanese,Korean,ChineseSimplified,ChineseTraditional
editor.camera.label.middle_rig_height,Middle Rig Height,,중간 리그 높이,,
editor.camera.label.middle_rig_radius,Middle Rig Radius,,중간 리그 반지름,,
editor.camera.label.bottom_rig_height,Bottom Rig Height,,하단 리그 높이,,
editor.camera.label.bottom_rig_radius,Bottom Rig Radius,,하단 리그 반지름,,
editor.pathvo.label.path_options,Path Options,,경로 옵션,,
editor.pathvo.label.space,Space,,공간,,
editor.pathvo.label.control_mode,Control Mode,,컨트롤 모드,,
editor.pathvo.label.control_spacing,Control Spacing,,컨트롤 간격,,
editor.pathvo.label.closed_path,Closed Path,,폐쇄 경로,,
editor.pathvo.button.reset_path,Reset Path,,경로 초기화,,
editor.pathvo.label.global_modify_options,Global Modify Options,,전체 수정 옵션,,
editor.pathvo.label.global_flip,Global Flip,,전체 뒤집기,,
editor.pathvo.label.global_rotation,Global Rotation,,전체 회전,,
editor.pathvo.button.reset_modify,Reset Modifications,,수정 초기화,,
editor.pathvo.label.display_options,Display Options,,표시 옵션,,
editor.pathvo.checkbox.show_path_bounds,Show Path Bounds,,경로 경계 표시,,
editor.pathvo.checkbox.show_segment_bounds,Show Segment Bounds,,세그먼트 경계 표시,,
editor.pathvo.checkbox.show_anchor_points,Show Anchor Points,,앵커 포인트 표시,,
editor.pathvo.label.handle_scale,Handle Scale,,핸들 크기,,
editor.common.leaderboard,Leaderboard,,리더보드,,
editor.common.inmodshop,In-Game Products,,인게임 상품,,
editor.common.project,Project,,프로젝트,,
editor.window.button.game_setting_editor.leaderboard_data.activate,Activate,,활성화,,
editor.window.button.game_setting_editor.leaderboard_data.activated,Activated,,활성화됨,,
editor.window.button.game_setting_editor.leaderboard_data.show_preview,Show Preview,,미리보기 표시,,
editor.window.button.game_setting_editor.leaderboard_data.delete_leaderboard,Delete Leaderboard,,리더보드 삭제,,
editor.window.button.game_setting_editor.leaderboard_data.reload_last_publish_data,Reload Last Published Leaderboard,,최근 출판된 리더보드 불러오기,,
editor.window.label.game_setting_editor.leaderboard_data.leaderboard_info,Leaderboard Info,,리더보드 정보,,
editor.window.label.game_setting_editor.leaderboard_data.main_score_setting,Main Score Settings,,메인 스코어 설정,,
editor.window.label.game_setting_editor.leaderboard_data.sub_score_setting,Sub Score Settings,,서브 스코어 설정,,
editor.window.label.game_setting_editor.leaderboard_data.renewal_and_sign,Renewal and Sign,,갱신,,
editor.window.label.game_setting_editor.leaderboard_data.title,Leaderboard,,리더보드,,
editor.window.label.game_setting_editor.leaderboard_data.description,Manage Leaderboard,,리더보드 관리,,
editor.window.label.game_setting_editor.leaderboard_data.leaderboard_id,Leaderboard ID,,리더보드 ID,,
editor.window.label.game_setting_editor.leaderboard_data.leaderboard_title,Title,,타이틀,,
editor.window.label.game_setting_editor.leaderboard_data.leaderboard_title.placeholder,Enter the leaderboard name.,,리더보드 이름을 입력하세요.,,
editor.window.label.game_setting_editor.leaderboard_data.leaderboard_description,Description,,설명,,
editor.window.label.game_setting_editor.leaderboard_data.leaderboard_description.placeholder,Enter leaderboard information.,,리더보드 정보 입력,,
editor.window.label.game_setting_editor.leaderboard_data.main_score_name,Main Score Name,,메인 스코어 이름,,
editor.window.label.game_setting_editor.leaderboard_data.main_score_name.placeholder,Enter the main score name.,,메인 스코어의 이름을 입력하세요.,,
editor.window.label.game_setting_editor.leaderboard_data.main_score_type,Main Score Type,,메인 스코어 타입,,
editor.window.label.game_setting_editor.leaderboard_data.sub_score_name,Sub Score Name,,서브 스코어 이름,,
